bangou,setsu,kashi
466,2,"くつる金や　銀のごとき
世のたからによらで
子羊なる　イエスの血にて
われ　あがなわれたり
歌わん　歌わん　
われ　あがなわれたり　ハレルヤ
こえの限り　歌い叫ばん
われ　あがなわれたり"
466,3,"とがと罪は　みなゆるされ
義とせられしことを
かたく信ず　イエスの血にて
われ　あがなわれたり
歌わん　歌わん　
われ　あがなわれたり　ハレルヤ
こえの限り　歌い叫ばん
われ　あがなわれたり"
466,4,"あまつくにに　ゆきてのちも
あがないの歌をば
高く歌わん　イエスの血にて
われ　あがなわれたり
歌わん　歌わん　
われ　あがなわれたり　ハレルヤ
こえの限り　歌い叫ばん
われ　あがなわれたり　　　（アーメン）"
469,1,"さかえのおうにます　主の　
みことばにかたく　　たちて
かみにはみさかえ　　あれと
たかくうたいさけばん
たてたて　　とわにかわらぬみことばを
しんじたて　かみのみことばにたて"
469,2,"よはかわるとも　　かわらぬ
みことばにかたく　たちて
まどいおそれの　　あらしに
こころはみだされじ
たてたて　　とわにかわらぬみことばを
しんじたて　かみのみことばにたて"
469,3,"またくつみを　　　きよめんとの
みことばにかたく　たちて
きみのちしおを　　うけしに
じゆうのみとなれり
たてたて　　とわにかわらぬみことばを
しんじたて　かみのみことばにたて"
469,4,"あいもて主に　　　むすびつき
みことばにかたく　たちて
あくまにむかえば　つねに
かちえてあまりあり
たてたて　　とわにかわらぬみことばを
しんじたて　かみのみことばにたて
　　　　　　　　　　　　（アーメン）"
472,1,"きよいふみはおしえる　
かみがひととなられて
ひとのためにすくいの　
みちをじょうじゅしたこと
わたしをもあいして　死なれたおかたは
かみの子のイェスさま　ひとりだけだ"
472,2,"そんなあいをわすれて　
みちにそれたわたしを
とがめだてもしないで　
むかえいれてくださる
わたしをもあいして　死なれたおかたは
かみの子のイェスさま　ひとりだけだ"
472,3,"かみのまえにいくとき　
うたうひとつおぼえの
うたはイェスがわたしを　
あいしたもうそのこと
わたしをもあいして　死なれたおかたは
かみの子のイェスさま　ひとりだけだ
　　　　　　　　　　　　（アーメン）"
480,1,"かなしみつきざる　うきよにありても
ひび主とあゆめば　みくにのここちす
ハレルヤつみとが　けされしわがみは
いずくにありても　みくにのここちす"
480,2,"かなたのみくには　みかおのほほえみ
はいするこころの　なかにもたてらる
ハレルヤつみとが　けされしわがみは
いずくにありても　みくにのここちす"
480,3,"やまにもたににも　こやにもみやにも　
ひび主とすまえば　みくにのここちす
ハレルヤつみとが　けされしわがみは
いずくにありても　みくにのここちす
　　　　　　　　　　　（アーメン）"
489,1,"人生の海の嵐に
もまれきしこの身も
不思議なる神の手により
いのちびろいしぬ
いとしずけきみなとにつき
われは今やすろう
救い主イエスの手にある
身はいともやすし"
489,2,"悲しみと罪の中より
救われしこの身に
いざないの声もたましい
ゆすぶることえじ
いとしずけきみなとにつき
われは今やすろう
救い主イエスの手にある
身はいともやすし"
489,3,"すさまじき罪のあらしの
もてあそぶまにまに
死をまつはたれぞただちに
逃げ込めみなとに
いとしずけきみなとにつき
われは今やすろう
救い主イエスの手にある
身はいともやすし　（アーメン）"
493,1,"やすけさはかわのごとく
こころひたすとき
かなしみはなみのごとく
わがむねみたすとき
すべてやすし
みかみともにませば"
493,2,"あしきものせまりくとも
こころみありとも
みこイエスのちのいさおし
ただたのむわがみは
すべてやすし
みかみともにませば"
493,3,"みよわがつみは十字架に
くぎづけられたり
このやすきこのよろこび
たれもそこないえじ
すべてやすし
みかみともにませば"
493,4,"よしあめつちくずれさり
ラッパのねとともに
みこイエスあらわるるとも
などておそるべしや
すべてやすし
みかみともにませば
　　　　　　　（アーメン)"
497,1,"かがやく　日をあおぐとき
つきほし　ながむるとき
いかずち　なりわたるとき
まことの　みかみをおもう
わがたま　　いざたたえよ
おおいなる　みかみを
わがたま　　いざたたえよ
おおいなる　みかみを"
497,2,"もりにて　とりの音をきき
そびゆる　やまにのぼり
たにまの　ながれのこえに
まことの　みかみをおもう
わがたま　　いざたたえよ
おおいなる　みかみを
わがたま　　いざたたえよ
おおいなる　みかみを"
497,3,"みかみは　よびとをあいし
ひとりの　みこをくだし
よびとの　すくいのために
十字架に　かからせたり
わがたま　　いざたたえよ
おおいなる　みかみを
わがたま　　いざたたえよ
おおいなる　みかみを"
497,4,"あめつち　つくりしかみは
ひとをも　つくりかえて
ただしく　きよきたましい
もつみと　ならしめたもう
わがたま　　いざたたえよ
おおいなる　みかみを
わがたま　　いざたたえよ
おおいなる　みかみを"
497,5,"まもなく　主イェスは来たり
われらを　むかえたまわん
いかなる　よろこびの日ぞ
いかなる　さかえの日ぞ
わがたま　　いざたたえよ
おおいなる　みかみを
わがたま　　いざたたえよ
おおいなる　みかみを　（アーメン）"
498,1,"ほむべきかな　つみびとなる
わがためしゅはみうせたり
よろこびたたえよ　しゅのみなを
みさかえときわに　つきせざれ"
498,2,"ほむべきかな　ちはつみより
われをきよめまもるなり
よろこびたたえよ　しゅのみなを
みさかえときわに　つきせざれ"
498,3,"ほむべきかな　しゅのちからに
わがやまいもいやされぬ
よろこびたたえよ　しゅのみなを
みさかえときわに　つきせざれ"
498,4,"ほむべきかな　しゅのみたまは
わがこころをみやとせり
よろこびたたえよ　しゅのみなを
みさかえときわに　つきせざれ"
498,5,"ほむべきかな　しゅはまもなく
わがためまたきたるべし
よろこびたたえよ　しゅのみなを
みさかえときわに　つきせざれ

　　　　　　　　　（アーメン）"
505,1,"めぐみある主　　まさずば
ひとときだに　　えたえじ
わがしとう主よ　ああ　めぐみませ
いまながもとに　ゆく身を"
505,2,"ともにまさば　　やすけし
いざのうもの　　さりゆかん
わがしとう主よ　ああ　めぐみませ
いまながもとに　ゆく身を"
505,3,"きみまさずば　　このよの
ものごとみな　　いみなし
わがしとう主よ　ああ　めぐみませ
いまながもとに　ゆく身を"
505,4,"なさせたまえ　　みむねを
みやくそくの　　ごとくに
わがしとう主よ　ああ　めぐみませ
いまながもとに　ゆく身を"
505,5,"ささげまつる　　このみを
うけいれませ　　わが主よ
わがしとう主よ　ああ　めぐみませ
いまながもとに　ゆく身を
　　　　　　　　　　　　（アーメン）"
514,1,"主と主のことばに　たよるはたのし
主はわがねがいを　ききいれたもう
ひたすらただ主に　たよるわがみを
主よ主よなおなお　めぐませたまえ"
514,2,"きよくなしたもう　ちしおとうとし
いま信じくぐらば　きよめらるべし
ひたすらただ主に　たよるわがみを
主よ主よなおなお　めぐませたまえ"
514,3,"ちにつくたからを　すつるはやすし
いのちのこみちを　たどるみなれば
ひたすらただ主に　たよるわがみを
主よ主よなおなお　めぐませたまえ"
514,4,"ただ主にたよりて　くらすはたのし
かなたのくにまで　みちびきたまわん
ひたすらただ主に　たよるわがみを
主よ主よなおなお　めぐませたまえ

　　　　　　　　　　（アーメン）"
516,1,"主にすがるわれに　　なやみはなし
十字架のみもとに　　にをおろせば　
うたいつつあゆまん　ハレルヤハレルヤ
うたいつつあゆまん　このよのたびじを"
516,2,"おそれはかわりて　　いのりとなり
なげきはかわりて　　うたとなりぬ
うたいつつあゆまん　ハレルヤハレルヤ
うたいつつあゆまん　このよのたびじを"
516,3,"主はいとやさしく　　われとかたり
とぼしきときには　　みたしたもう
うたいつつあゆまん　ハレルヤハレルヤ
うたいつつあゆまん　このよのたびじを
　"
516,4,"主のみやくそくに　　かわりはなし
みもとにゆくまで　　ささえたまわん
うたいつつあゆまん　ハレルヤハレルヤ
うたいつつあゆまん　このよのたびじを

　　　　　　　　　　　　　（アーメン）"
518,1,"みことばなる　　ひかりのうち
主とともに　　　あゆまば
ゆくみちすじ　　てらしたまわん
よりたのむ　　　われらに
げに主は　　　　よりたのみて
したごう者を　　めぐみたまわん"
518,2,"みかおのえみ　　かがやくとき
くもきりは　　　きえゆき
うたがいなく　　うれいもなし
よりたのむ　　　われらに
げに主は　　　　よりたのみて
したごう者を　　めぐみたまわん"
518,3,"さいだんにゆき　みもこころも
ささぐると　　　どうじに
よろこびをば　　みたしたまわん
よりたのむ　　　われらに
げに主は　　　　よりたのみて
したごう者を　　めぐみたまわん"
518,4,"いかにきよき　　まじわりぞや
さまたぐる　　　ものなし
ひるもよるも　　りんざいあり
よりたのむ　　　われらに
げに主は　　　　よりたのみて
したごう者を　　めぐみたまわん
　　　　　　　
　　　　　　　　　（アーメン）"
523,1,"この世のたびじに　君はわが身を
みちびきたすくる　つよき友なり
しとうイエスよ　　しとうイエスよ
近くましたまえ　　つねにわが身と"
523,2,"楽しみもとむる　　おろかさやめて
ともにになわばや　イエスの十字架を
しとうイエスよ　　しとうイエスよ
近くましたまえ　　つねにわが身と"
523,3,"死かげの谷にも　　荒るる海にも
ともにましまさば　つゆも恐れじ
しとうイエスよ　　しとうイエスよ
近くましたまえ　　つねにわが身と
　　　　　　　　　　　（アーメン）"
539,1,"キリストには　かえられません
世の宝も　また富も
このおかたが　わたしに
かわって死んだ　ゆえです
世の楽しみよされ　世のほまれよゆけ
キリストには　かえられません
世のなにものも"
539,2,"キリストには　かえられません
有名な人になることも
人のほめる　ことばも
この心を　ひきません
世の楽しみよされ　世のほまれよゆけ
キリストには　かえられません
世のなにものも"
539,3,"キリストには　かえられません
いかに美しい　ものも
このおかたで　心の
満たされてある　今は
世の楽しみよされ　世のほまれよゆけ
キリストには　かえられません
世のなにものも
　　　　　　　　　　　　（アーメン）"
547,1,"かたりつげばや　　主なるイェスと
そのみさかえと　　そのめぐみを
わがたましいを　　みたすものは
たになきことを　　さとりえたり
かたりつげばや　　よをさるひまで 
かたりつげばや　　イェスのあいを"
547,2,"かたりつげばや　　かたるごとに
こころみちたり　　たのしさます
このすくいぬし　　しらぬものに
われよびかけて　　あかしせばや
かたりつげばや　　よをさるひまで 
かたりつげばや　　イェスのあいを"
547,3,"かたりつげばや　　みよちまたは
うえかわきたる　　ひとにみてり
こはげにふるき　　おしえなれど
ひびあたらしき　　うたとぞなる
かたりつげばや　　よをさるひまで 
かたりつげばや　　イェスのあいを
　　　　　　　　　　　　（アーメン）　"
551,1,"ゆきてつげよあまねく
いずこのたみにも
こころをばかえて
あらたにせよと　あらたにせよと
くらきやみもしばし
ぎのひなるイェスの
かがやきよをてらす　あしたはちかし"
551,2,"うたえひとのこころを
もたげてイェスにと
ゆかしむるうたを
うれしきこえに　うれしきこえに
くらきやみもしばし
ぎのひなるイェスの
かがやきよをてらす　あしたはちかし"
551,3,"かたれひとをつみより
ほろびのなかより
すくわんがために
くだりしイェスを　くだりしイェスを
くらきやみもしばし
ぎのひなるイェスの
かがやきよをてらす　あしたはちかし"
551,4,"しめせすくいのきみを
くるしみたまいし
このイェスのほかに
すくいはあらじ　すくいはあらじ
くらきやみもしばし
ぎのひなるイェスの
かがやきよをてらす　あしたはちかし
　　　　　　　　　　　　　（アーメン）"
562,1,"主よわがそばをば　すぎゆかず
ながめをばわれに　むけたまえ
主よ主よ　　　　　ききたまえ
せつによびまつる　わがこえに"
562,2,"ながまえにありて　つみくゆる
われにみこえをば　かけたまえ
主よ主よ　　　　　ききたまえ
せつによびまつる　わがこえに"
562,3,"きよきいさおしを　たのみとす
われにあたえませ　ながあいを
主よ主よ　　　　　ききたまえ
せつによびまつる　わがこえに"
562,4,"主はわがいのちぞ　なぐさめぞ
たにはたのむべき　かみあらじ
主よ主よ　　　　　ききたまえ
せつによびまつる　わがこえに
　　　　　　　　　（アーメン）"
567,1,"このみをきよくし　たたすイエスの
みめぐみの　ふかさはかりがたし
血しおの ながれに いまこそとびこまん
ながれは ただちに われをきよくなさん"
567,2,"けがれしせいしつは　死してあらず
あたらしきものぞ　つくられたる
血しおの ながれに いまこそとびこまん
ながれは ただちに われをきよくなさん"
567,3,"キリストわがみの　うちにまして
この世と罪とに　勝たせたまわん
血しおの ながれに いまこそとびこまん
ながれは ただちに われをきよくなさん"
567,4,"けがれしわれさえ　きよむる主の　
みめぐみのふかさ　たたえうたわん
血しおの ながれに いまこそとびこまん
ながれは ただちに われをきよくなさん"
570,1,もゆるみたまよここにきたりてわれにさかえをあおがせたまえみたまのかみよここにきたりてくしきみわざをおこないたまえひをひをひをまつわれに
570,2,さいだんのうえにこのみもたまもよきもあしきもことごとささぐみたまのかみよここにきたりてくしきみわざをおこないたまえひをひをひをまつわれに
570,3,すべてをささげむなしきわれにみなのためいまみちさせたまえみたまのかみよここにきたりてくしきみわざをおこないたまえひをひをひをまつわれに
570,4,あがないませるたまものをいましんこうのてもてまよわずにぎらんみたまのかみはここにきたりてくしきみわざをなさせたまえりひをひをひをしんじてまちしに
579,1,"きたれなれを　きよむればと
のたもうみこえに　ききしたがわん

主よわれは　いまぞゆく
十字架の血にて　きよめたまえ"
579,2,"ゆくわがみの　けがれとつみ
すこしものこさず　あらいたまえ

主よわれは　いまぞゆく
十字架の血にて　きよめたまえ"
579,3,"まねくイエスは　信仰と愛と
のぞみと平和を　あたえたまわん

主よわれは　いまぞゆく
十字架の血にて　きよめたまえ"
579,4,"すくいぬしは　みめぐみもて
よせきたるつみに　かたせたまわん

主よわれは　いまぞゆく
十字架の血にて　きよめたまえ"
579,5,"すくわれしは　みことなりと
こころにあかしを　あたえたまえ

主よわれは　いまぞゆく
十字架の血にて　きよめたまえ"
579,6,"さんびせよ主の　血とめぐみを
さんびせよ力と　義にます主を

主よわれは　いまぞゆく
十字架の血にて　きよめたまえ"
604,1,"あめをふりそそぎ　めぐみたもうと
かみはあいをもて　ちかいたまえり
ゆうだちのごと　　あまつめぐみを
イェスよいまここに
そそぎたまえや"
604,2,"あめをふりそそぎ　つよきおともて
ねむるたみのめを　さましたまえや
ゆうだちのごと　　あまつめぐみを
イェスよいまここに
そそぎたまえや"
604,3,"あめをふりそそぎ　かみのことばの
かわりなきことを　しめしたまえや
ゆうだちのごと　　あまつめぐみを
イェスよいまここに
そそぎたまえや"
604,4,"あめをふりそそぎ　ひとりびとりに
くしきながわざを　みさせまたえや
ゆうだちのごと　　あまつめぐみを
イェスよいまここに
そそぎたまえや"
608,1,"めぐみふかきみかみよ 
むかしありしごとく
われらひとりびとりを 
今日もみたしたまえ
主よあまつみたまを　 
今日もくだしたまえ
ここにあまつほのおを 
今日ももやしたまえ"
608,2,"罪と欲はさながら　　 
火にてやくるごとく
焼きてまたくほろぼし 
今日もきよめたまえ
主よあまつみたまを　 
今日もくだしたまえ
ここにあまつほのおを 
今日ももやしたまえ"
608,3,"にえとなりて救いの　 
道をひらきませる
救い主をさやかに　　 
今日もしめしたまえ
主よあまつみたまを　 
今日もくだしたまえ
ここにあまつほのおを 
今日ももやしたまえ"
608,4,"きみの深きめぐみを　 
語りつぐるために
神によれる自由を　　 
今日もあたえたまえ
主よあまつみたまを　 
今日もくだしたまえ
ここにあまつほのおを 
今日ももやしたまえ　（アーメン）"
610,1,"いずこにある島々にも　　
いずこに住む人々にも
よろこばしくのべ伝えよ　聖霊きたれり
聖霊きたれり　聖霊きたれり
あまくだりし　なぐさめぬし
地の果てまで　のべ伝えよ
聖霊きたれり"
610,2,"暗きよるはあけはなたれ　 
なげく声もいまはやみて
目にいるものみなかがやく 聖霊きたれり
聖霊きたれり　聖霊きたれり
あまくだりし　なぐさめぬし
地の果てまで　のべ伝えよ
聖霊きたれり"
610,3,"きみのきみにときはなたれ　
自由なる身とせられしもの
かちのうたを高くあげよ　聖霊きたれり
聖霊きたれり　聖霊きたれり
あまくだりし　なぐさめぬし
地の果てまで　のべ伝えよ
聖霊きたれり"
610,4,"いともふかきあいとめぐみ
いざまよえるつみびとらに
かたりつげてかみのことせん　聖霊きたれり
聖霊きたれり　聖霊きたれり
あまくだりし　なぐさめぬし
地の果てまで　のべ伝えよ
聖霊きたれり"
610,5,"みつかいらも神の民も　　　
無限の愛をほめたたえて
天にひびかせ地にみたせよ　聖霊きたれり
聖霊きたれり　聖霊きたれり
あまくだりし　なぐさめぬし
地の果てまで　のべ伝えよ
聖霊きたれり
　　　　　　　　　　　　（アーメン）"
611,1,"主よながちかいの　みたまのかみを
まちのぞむわれに　つかわしたまえ
みたしたまえ　　　あまつみたまを
主よいまもとむる　このたましいに"
611,2,"めぐみのいずみよ　かわけるわれを
みたまのながれに　よくさせたまえ
みたしたまえ　　　あまつみたまを
主よいまもとむる　このたましいに"
611,3,"ちからのもとなる　みたまによりて
かよわきこのみを　つよくしたまえ
みたしたまえ　　　あまつみたまを
主よいまもとむる　このたましいに"
611,4,"ひえたるこころを　もえあがらする
あめなるほのおを　のぞませたまえ
みたしたまえ　　　あまつみたまを
主よいまもとむる　このたましいに"
611,5,"主のいさおにより　くだるみたまは
われをもみたすと　いまこそしんぜめ
みたしたまえ　　　あまつみたまを
主よいまもとむる　このたましいに"
617,1,"したいまつる主の　　みまねきあるいま
十字架にないゆかん　愛する主のあとを
いずくまでもゆかん　いずくまでもゆかん
いずくまでもゆかん　愛する主のあとを"
617,2,"ちしおまじる汗　　　　流しいのる主の
ゲッセマネにもゆかん　愛する主のあとを
いずくまでもゆかん　　いずくまでもゆかん
いずくまでもゆかん　　愛する主のあとを"
617,3,"うたれののしられ　　はずかしめうくる
ひとまえにもゆかん　愛する主のあとを
いずくまでもゆかん　いずくまでもゆかん
いずくまでもゆかん　愛する主のあとを"
617,4,"きみのみめぐみに　　ひたりし我が身は
さかえ望みゆかん　　愛する主のあとを
いずくまでもゆかん　いずくまでもゆかん
いずくまでもゆかん　愛する主のあとを
　　　　　　　　　　　　　（アーメン）"
618,1,"かみのみこにます　　イェスのために
つみをてきとして　　立つはたれぞ
すべてをすてて　　　したがいまつらん
わがすべてにます　　王なる主イェスよ"
618,2,"とみのたのしみと　　地のくらいに
めもくれずイェスに　つくはたれぞ
すべてをすてて　　　したがいまつらん
わがすべてにます　　王なる主イェスよ"
618,3,"つみにとらわれし　　たましいをば
イェスにつれきたる　勇士はたれぞ
すべてをすてて　　　したがいまつらん
わがすべてにます　　王なる主イェスよ　"
618,4,"わがもてるものは　　主よながもの
きよきみいくさに　　もちいたまえ
すべてをすてて　　　したがいまつらん
わがすべてにます　　王なる主イェスよ
　　　　　　　　　　　　　（アーメン）"
621,1,"このみの生くるは　このみを愛して
十字架にみうせし　主のためなり
ことごと御前に　　ささぐるこのみを
うけいれたまえや　主なるイェスよ"
621,2,"たからもほまれも　いかでかおしからん
十字架にみうせし　主のためには
ことごと御前に　　ささぐるこのみを
うけいれたまえや　主なるイェスよ"
621,3,"このみに自由を　　あとうるためなり
十字架にかかりて　主の死にしは
ことごと御前に　　ささぐるこのみを
うけいれたまえや　主なるイェスよ
　　　　　　　　　　　　（アーメン）"
624,1,"信仰与えらえれ　献身しました
ゲツセマネの主よ　カルバリの主よ
主のみ手のうちにあれば
わたしにもできます
どうぞつかってくださいませ
主のそばでいつまでも"
624,2,"感謝して受けよう主の十字架を
主は天の国に入れてくださる
主のみ手のうちにあれば
わたしにもできます
どうぞつかってくださいませ
主のそばでいつまでも"
624,3,"死のかげの谷もおそろしくない
私の命は神のてにある
主のみ手のうちにあれば
わたしにもできます
どうぞつかってくださいませ
主のそばでいつまでも"
624,4,"だいじょうぶかとしゅは優しく見てる
私の決意にかわりありません
主のみ手のうちにあれば
わたしにもできます
どうぞつかってくださいませ
主のそばでいつまでも"
626,1,"主とともにあゆむ　そのたのしさよ
主のふみたまいし　みあとをたどる
ひとあしひとあし　主にすがりて
たえずたえず　　　われはすすまん"
626,2,"あかごにひとしき　かよわきわれは
ただ主にすがりて　いのちにあゆまん
ひとあしひとあし　主にすがりて
たえずたえず　　　われはすすまん"
626,3,"はなさくのはらも　ちにそむたにも
みちびかるるまま　主とともにゆかん
ひとあしひとあし　主にすがりて
たえずたえず　　　われはすすまん"
626,4,"エノクのごとくに　　われをもうえに
うつさせたもうまで　ひび主とあゆまん
ひとあしひとあし　　主にすがりて
たえずたえず　　　　われはすすまん
　　　　　　　
　　　　　　　　　　　　（アーメン）"
627,1,"めぐみの高きね　  日々わがめあてに
祈りつ歌いつ　　  我はのぼりゆかん
ひかりときよきと  平和にみちたる
めぐみの高きね　  我にふましめよ"
627,2,"おそれのある地に  などかはとどまらん
ぎわくの雲をば　　早くしたにふまん
ひかりときよきと  平和にみちたる
めぐみの高きね　  我にふましめよ"
627,3,"さぎりのかなたに　あまつ日かがやく
うきよをあとにし　なおものぼりゆかん
ひかりときよきと  平和にみちたる
めぐみの高きね　  我にふましめよ"
627,4,"けわしき坂をも　　すぐなる岩をも
みたすけある身は　ついにのぼりきらん
ひかりときよきと  平和にみちたる
めぐみの高きね　  我にふましめよ

　　　　　　　　　　　（アーメン）"
628,1,"すくいぬしイェスと　ともにゆくみは
とぼしきことなく　　おそれもあらじ
イェスはやすきもて　こころたらわせ
ものごとすべてを　　よきになしたもう
ものごとすべてを　　よきになしたもう"
628,2,"さかみちにつよき　みてをさしのべ
こころみのときは　めぐみをたもう
よわきわがたまの　かわくおりしも
めのまえのいわは　さけてみずわく
めのまえのいわは　さけてみずわく"
628,3,"いかにみちみてる　　めぐみなるかや
やくそくしませる　　いえにかえらば
わがたまはうたわん　ちからのかぎり
きみにまもられて　　きょうまできぬと
きみにまもられて　　きょうまできぬと

　　　　　　　　　　　　（アーメン）"
629,1,"「おそれなくちかよれ」と主はかたりたもう
しんこうのてのばしつつちかづきまつらん
いよいよながそばにわれをひきよせ
いよいよ主よながあいのひろさしらせよ"
629,2,"このみをばほうしへといまささぐれば
きみがむねひとすじになさしえたまえ
いよいよながそばにわれをひきよせ
いよいよ主よながあいのひろさしらせよ"
629,3,"みまえにてすごしうるわがよろこびよ
へだてなきとものごとあつかいたもう
いよいよながそばにわれをひきよせ
いよいよ主よながあいのひろさしらせよ"
629,4,"みめぐみのふかきことついにさとりえん
このよにてよろこびをきわめえずとも
いよいよながそばにわれをひきよせ
いよいよ主よながあいのひろさしらせよ"
634,1,"山ゆくも海ゆくも　みひかりをあゆまば
「みすてじ」とのたまえる　
約束はかわらじ
さかえもて
みひかりはわがうちにみなぎる
ハレルヤ
イェスきみをたたえつつゆかまし"
634,2,"闇夜にも嵐にも　みうしのうことなき
みひかりはイェスご自身
恐れ迷うことなし
さかえもて
みひかりはわがうちにみなぎる
ハレルヤ
イェスきみをたたえつつゆかまし"
634,3,"みひかりの照る道を　あまつやを目当てに
喜びに満たされて
歌いつつゆかまし
さかえもて
みひかりはわがうちにみなぎる
ハレルヤ
イェスきみをたたえつつゆかまし
　　　　　　　　　　　　　　
　　　　　　　　　　（アーメン）"
637,1,"イェスよわがみを　みもとにひきよせて
ながちのなかに　　かわらずおきたまえ
したい　まつる　　イエスよ　このみを
まいにちまいじ　　みもとにひきたまえ"
637,2,"くものごとくに　このよはかわるとも
つゆかわらじと　みまえにちかわせよ
したい　まつる　イエスよ　このみを
まいにちまいじ　みもとにひきたまえ"
637,3,"さらになれをば　したわせたまえしゅよ
あまつわがやの　かどにてあわんひまで
したい　まつる　イェスよ　このみを
まいにちまいじ　みもとにひきたまえ
　　　　　　　　　　　　　
　　　　　　　　　　　　　（アーメン）"
651,1,"つみとがをにのう　　ともなるイエスに
うちあけうるとは　　いかなるさちぞ
やすきのなきもの　　なやみおうもの
ともなるイエスをば　おとずれよかし"
651,2,"こころみのあした　なきあかすよる
きおちせずすべて　うちあけまつれ
われらのよわきを　しれるきみのみ
われらのなみだの　もとをよみたもう"
651,3,"きづかれせしもの　おもにおうもの
かくれがなる主に　すがれただちに
ながともはわらい　はくがいすとも
主はなれをいだき　なぐさめたまわん
　　　　　　　　　　　（アーメン）"
653,1,"イェスはわがいのち　またよろこび
すべてのすべてぞ　　われにとりて
かなしめるときは　　なぐさめはげます
よにただひとりの　　ともぞ"
653,2,"イェスは火のごとき　こころみにも
かたせてめぐみを　　さらにたもう
ひびなすわざをば　しゅくしてみのりを
ゆたかになしたもう　ともぞ"
653,3,"イェスはかくわれに　まことなるを
わすれまつるひの　　などあるべき
みむねをかしこみ　　みわざをはげみて
ひもよもしたがい　　つかえん"
653,4,"イェスはたれよりも　まさるともぞ
よにいくるかぎり　　われはたよらん
よをさりてのちも　　とこしなえまでも
かわらぬあいもて　　たよらん

　　　　　　　　　　　（アーメン）　"
658,1,"むしにもひとしき　もののために
主はかくもむごき　めにあいしか"
658,2,"このみのとがゆえ　十字架につく
ああそはいかなる　あいぞあいぞ"
658,3,"みかみのひとりご　しぬるをみて
てるひもかくれぬ　くものなかに"
658,4,"はじいるこのみを　いかにかくさん
なみだにこころも　目もとけゆく"
658,5,"めぐみにむくゆる　すべをしらず
すべてをなげだし　ただひれふす"
672,1,"いつ主はきたりたもうや　
たれも知らねば
われらはたえずめさめ
まもるべきなり
こころもおもいも身も　
みなきよめられ
主の日をのぞむものは
いとうるわしきかな"
672,2,"このままわれらこよい
主にめされなば
おそれもなくみまえに
立つをうべきか
こころもおもいも身も
みなきよめられ
主の日をのぞむものは
いとうるわしきかな"
672,3,"みたまをうけしものら 
こころをあわせ
よきわざはげみあいて 
主をまちのぞまん
こころもおもいも身も 
みなきよめられ
主の日をのぞむものは 
いとうるわしきかな"
672,4,"われゆかんすみやかにと　
やくしたまえる
主よ主よはやくきませ　
ハレルヤアーメン
こころもおもいも身も　
みなきよめられ
主の日をのぞむものは　
いとうるわしきかな　（アーメン）"
